turn_id;utterance;speaker;intents
0;Hi, I'd like to book a taxi from A and B Guest House to Saint Catherine's College.;USER;find_taxi,
1;In order to book you a taxi I will need to know either when you would like to leave or arrive by?;SYSTEM;
2;I'd like to arrive by 06:00, please.;USER;find_taxi,
3;Alright, I got you booked. the car will be a blue skoda and the contact number is 07914819489. Anything else I can help you with?;SYSTEM;
4;That will be all, thanks!;USER;
5;Have a nice day!;SYSTEM;
0;I want to visit a theater in the center of town.;USER;find_attraction,
1;There are 4 matches. I don't have any info on the fees. Do you have any other preferences?;SYSTEM;
2;No other preferences, I just want to be sure to get the phone number of whichever theatre we pick.;USER;find_attraction,
3;I recommend the cambridge corn exchange there phone number is 01223357851. Is there anything else I can help you with?;SYSTEM;
4;Yes, I am looking for a Tuesday train.;USER;find_attraction,find_train,
5;Where will you be departing from and what's your destination?;SYSTEM;
6;From Cambridge to London Liverpool Street.;USER;find_train,
7;There are 10 trains on that route starting at 05:59 and the last one is at 23:59. What time would you like to depart or arrive?;SYSTEM;
8;The train must arrive by 11:15 and I do not care what time time it leaves. Please book one for 4 people and give me the reference number.;USER;book_train,
9;The TR4259 fits your needs. Would you like me to book this one? You will get there at 09:27, but the next one doesn't arrive until 01:27.;SYSTEM;
10;That works out fine. It will give me some time to look around before I have to be anywhere. Can you book 4 tickets for me, please?;USER;book_train,
11;Booking was successful, the total fee is 66.4 GBP payable at the station . Reference number is : 6FVZCUEK . Can i help with anything else today?;SYSTEM;
12;Let me see... no that's all I need. Thanks. Bye.;USER;
13;Thanks for calling. Have a great day. Goodbye!;SYSTEM;
0;Yes, can you tell me information on Cambridge lodgings? We are looking for free wifi and a nice guesthouse.;USER;find_hotel,find_train,
1;Sure. What area and price range are you looking for?;SYSTEM;
2;I don't really care about area or price range, the most important thing for me is free wifi in a guesthouse that has free parking.;USER;find_hotel,
3;I've got over 20 guesthouses that will work with those requirements. Would you like me to book a moderately priced 4 star?;SYSTEM;
4;As long as it has free wifi and parking then yes.;USER;find_hotel,
5;I would recommend the Acorn Guest House on the north side of town. It has 4-stars. Should I book this?;SYSTEM;
6;Yes. Please book it for 8 people for 5 nights starting from sunday.;USER;book_hotel,find_train,
7;Ok. You're all set for the Acorn Guest House on Sunday. The reference number is RLSL7BTI . Can I help you with anything else?;SYSTEM;
8;Can I get a train from Leicester to Cambridge? Should be on that same Sunday and I'd need it to arrive by 20:30.;USER;book_hotel,find_train,
9;There are several trains you can choose from. Train TR1079 leaves at 09:09 and arrives at 10:54. Would you like to book it or try another?;SYSTEM;
10;You can book that one. I need the booking for 8 people. Could I get a reference number?;USER;book_train,
11;I've booked your tickets. The reference number is 3ENDA3IC .;SYSTEM;
12;Great! Thanks for your help today. I'm all set. Goodbye.;USER;
13;Thanks for using our service. Take care. Bye Bye.;SYSTEM;
0;I'm looking for a train departing from cambridge on wednesday.;USER;find_train,
1;Okay. What is your destination?;SYSTEM;
2;I am attending a seminar in Ely.;USER;find_train,
3;There are 10 trains on that route starting at 05:50. To make sure I book the right one what time do you need to arrive?;SYSTEM;
4;Well, I just want to leave after 9:15.;USER;find_train,
5;Alright, there are 8 options. The earliest train after 09:15 leaves at 09:50 and the latest at 23:50, each takes 17 minutes. Do you have a preference?;SYSTEM;
6;The 9:50 train will be fine. I'll need to book for 6 people. Can I please have the reference number?;USER;book_train,
7;Your tickets have been booked. Your total is 26.4 GBP and will be payable at the station. Your confirmation is 04Q2G0GU .;SYSTEM;
8;Great I also need a moderate priced place to stay with free wifi.;USER;find_hotel,
9;That gives us about 17 options. Is there a certain area in the city you prefer to stay in?;SYSTEM;
10;I definitely need it to include free parking.;USER;find_hotel,
11;What area of town do you prefer?;SYSTEM;
12;I don't have an area I prefer, can you recommend something?;USER;find_hotel,
13;I recommend archway house. It's a guesthouse moderately priced located on the north side. Will that work for you?;SYSTEM;
14;Yes, that should work. Can you book it for me?;USER;find_hotel,
15;Sure. How many guests and how many nights?;SYSTEM;
16;It will be the same group of people that are on the train. I'll need it to start on Sunday and go for 3 nights.;USER;book_hotel,
17;I successfully booked your stay for 6 people at Archway House beginning Sunday and lasting for 3 days. Your reference number is HM3ORBHM . Can I do anything else for you?;SYSTEM;
18;That is all. Thanks so much!;USER;
19;Will you need a taxi? Or anymore info on your stay?;SYSTEM;
20;No, that's all I need today. Thanks, and goodbye!;USER;
21;Thank you so much for calling. Please reach out if you need additional assistance. Goodbye.;SYSTEM;
0;Could you tell me if there are any corsica restaurants in the south side?;USER;find_restaurant,find_hotel,
1;There aren't any corsica restaurants located in the south side.;SYSTEM;
2;That's fine, how about Chinese in the same area?;USER;find_restaurant,
3;Yes, there are three Chinese restaurants in the South. Would you prefer cheap or expensive?;SYSTEM;
4;I am not bothered about the price. Why don't you select one and provide me with their telephone number and price range?;USER;find_restaurant,
5;the good luck chinese food takeaway is expensive and the postcode is cb17ag;SYSTEM;
6;What is its phone number;USER;find_restaurant,
7;Their phone number is 01223244149. Would like to book a table?;SYSTEM;
8;Yes can you please?;USER;
9;Yes, I can. How many people will be with you, on what day and at what time would you like your reservation?;SYSTEM;
10;Actually, that is all the information I need. I do need a place to stay in the same area.;USER;find_hotel,
11;There are 3 guesthouses and 1 hotel in the south. Do you have a certain price range you are looking for?;SYSTEM;
12;I would like a 3 star expensive place please.;USER;find_hotel,
13;I found The Lensfield Hotel located at 53-57 lensfield road. Would you like me to book that for you now?;SYSTEM;
14;Is that located in the south?;USER;find_restaurant,find_hotel,
15;Yes. The Lensfield hotel is located in the south part of town. Would you like more information or to book it?;SYSTEM;
16;Does it have free parking?;USER;find_hotel,
17;Yes, there is free parking. What else would you like to know?;SYSTEM;
18;find me the phone number;USER;find_hotel,
19;The lensfield hotel phone number is 01223355017. Let me know if there is something else you need.;SYSTEM;
20;Great, that's all I need, thanks so much for your help! Have a great day!;USER;
21;You're welcome! And thanks, you, too!;SYSTEM;
0;Hello, can you tell me about the options for moderately priced dining in Cambridge that are centrally located?;USER;find_restaurant,find_train,
1;Yippee Noodle Bar (asian oriental), Restaurant One Seven (british), and The Oak Bistro (british) are all nearby;SYSTEM;
2;Are there any that serve Irish food?;USER;find_restaurant,
3;No, sorry, there aren't any serving Irish food.;SYSTEM;
4;Perhaps a gastropub?;USER;find_restaurant,
5;The cow pizza kitchen and bar would meet your request for gastropub. Would you like to book it?;SYSTEM;
6;Can I have the address for cow pizza kitchen please?;USER;find_restaurant,
7;The address is Corn Exchange Street.;SYSTEM;
8;Thank you, I'm also looking for a train that leaves after 20:00 on a Friday.;USER;find_train,
9;There are several trains that depart on Friday after 20:00, where are you traveling from and to?;SYSTEM;
10;I'm traveling from cambridge to stansted airport.;USER;find_train,
11;There are 4 trains that will work for you - leaving 20:40, 21:40, 22:40, and 23:40. Would you like to book one of those?;SYSTEM;
12;Yes, can I book the 20:40 train for three people?;USER;book_train,
13;Booking was successful, your reference number is N9PDDWD8 . You pay at the station 30.29 GBP.;SYSTEM;
14;Great, thanks for your help.;USER;
15;You're welcome, thank you for using our service today.;SYSTEM;
0;I want to find an Italian place to eat near the center of cambridge.;USER;find_restaurant,
1;There are nine possibilities to choose from. What price range do you have in mind?;SYSTEM;
2;I would like for the restaurant to be expensive.;USER;find_restaurant,find_hotel,
3;I'd recommend Don Pasquale Pizzeria. Would you like more information on them or to book a reservation?;SYSTEM;
4;I would like to book a table for 2;USER;find_restaurant,
5;Great, what day and time would you like to book for?;SYSTEM;
6;I need the reservation for saturday at 18:15 and I need the reference number too.;USER;book_restaurant,find_taxi,
7;OK, your table is reserved and your Reference number is : 06DKVN3K . Can I help you with anything else today?;SYSTEM;
8;Yes, I also need a hotel room with free wifi also in centre, 4 star, and expensive please.;USER;book_restaurant,find_hotel,
9;The University Arms Hotel meets your requirements. Would you like me to book this for you?;SYSTEM;
10;Could I get their phone number and address, please?;USER;find_hotel,
11;Certainty, university arms hotel address is regent street, and the phone number is 01223351241.;SYSTEM;
12;I would like to book a taxi to commute between the two places.;USER;find_taxi,
13;I've booked you a grey volkswagen to arrive at the restaurant by 18:15. Your reference number is 07475385747. Is there anything else?;SYSTEM;
14;No that's all i need, thank you so much!;USER;
15;Thank you for using our system!;SYSTEM;
0;Hi, I'm looking for a taxi. I need to leave from Golden House at 12:15.;USER;find_taxi,
1;Sure, can I have the destination for your taxi please?;SYSTEM;
2;I'm headed to the soul tree nightclub.;USER;find_taxi,
3;I have booked a taxi for you. It is a blue ford and the contact number is 07710275202. Is there anything else I can help you with today?;SYSTEM;
4;No, you have been very helpful. Thank you.;USER;
5;Have a nice day!;SYSTEM;
0;Can you help me find a night club in South Cambridge?;USER;find_attraction,
1;The Place is located at 22 Sidney Street. Their phone number is 01223324600. You will need to call for their entry fee.;SYSTEM;
2;Can you schedule me a taxi to take me there?;USER;find_taxi,find_attraction,
3;I can book you a taxi, can you tell me the arrival or departure time?;SYSTEM;
4;Also, I need a hotel with parking and 2 stars.;USER;find_hotel,
5;I have three options for you - two in the north in the moderate price range and one that's expensive in the east.;SYSTEM;
6;OK, tell me about the ones to the north. I need one that's a regular hotel and not a guesthouse.;USER;find_hotel,
7;The ones in the north are the Ashley Hotel and the Lovell Lodge. Do you have a preference?;SYSTEM;
8;No, please book one of them for me for 4 people staying 2 nights starting Tuesday. Can you provide me with the reference number for that booking?;USER;book_hotel,
9;I have successfully booked you at the ashley hotel. The reference number is YMEO7L37 . Can I help you with anything else today?;SYSTEM;
10;Nope, that's everything. Thanks a bunch!;USER;
11;Thank you, goodbye!;SYSTEM;
0;Hello. I am looking for train schedules leaving from Bishops Stortford. Can you help me?;USER;find_train,
1;Yes, I can. Just to confirm, is your destination Cambridge or another city?;SYSTEM;
2;The train should depart from bishops stortford.;USER;find_train,
3;There are oodles of trains from Bishops Stortford to Cambridge. What day and time would you like to travel?;SYSTEM;
4;I would like to travel on Friday and leave sometime after 14:00 please.;USER;find_train,
5;I have a 15:29 departure. Would you like to book that?;SYSTEM;
6;What is the travel time for the 15:29 departing train?;USER;find_train,
7;The travel time is 38 minutes. Would you like me to book that?;SYSTEM;
8;Yes. What attraction is good in the North? May I have the address?;USER;find_attraction,
9;Riverboat georgina is located at cambridge passenger cruisers, jubilee house;SYSTEM;
10;Great can I get their address please?;USER;find_attraction,
11;Absolutely. Their phone number is 01223902091. Is there anything else I can do for you today?;SYSTEM;
12;I would also like the street address please.;USER;find_attraction,
13;It's located at cambridge passenger cruisers, jubilee house.;SYSTEM;
14;Is there a street address or landmark to locate them?;USER;find_attraction,
15;That is the street address. I don't have any further information.;SYSTEM;
16;Thank you so much for double-checking that for me.;USER;
17;You're welcome is there anything else I can do for you?;SYSTEM;
18;no that is all;USER;
19;Have a good day!;SYSTEM;
0;What time would you like to depart?;USER;find_taxi,find_train,
1;Are you looking for a train or a taxi?;SYSTEM;
2;I am looking for a train from Cambridge to London Kings Cross for Wednesday, arriving by 09:45.;USER;find_train,
3;I only have a train that arrives at 07:51 or 09:51.;SYSTEM;
4;would you please book for 8 people? and give me the reference number;USER;book_train,
5;I booked 8 tickets on TR1058 leaving Cambridge at 07:00. The reference number is VBKUUA4S and the total fee is 188.8 GBP payable at the station.;SYSTEM;
6;Thanks, could you also help me find a good museum to visit while I am there?;USER;find_attraction,book_train,
7;There are 23 museums listed. Is there an area of town you prefer?;SYSTEM;
8;Surprise me with one. I just need the address.;USER;find_attraction,
9;I can do that. Try the Whipple Museum of the History of Science, on free school lane.;SYSTEM;
10;Thank you! As always you are amazing. That is all I need for today.;USER;find_attraction,
11;Thank you for contacting Cambridge TownInfo Centre. Have a great day!;SYSTEM;
0;Hello there! Can you tell me if there are any 4-star hotels or guesthouses in Cambridge that are cheap?;USER;find_hotel,
1;There are 21 locations, do you have any other requirements?;SYSTEM;
2;I am hoping it is a guesthouse;USER;find_hotel,
3;There are 7 guesthouses meeting your requirements. Is there a particular area you wish to stay in?;SYSTEM;
4;No, as long as it's cheap and have 4 stars. Can you recommend me one and book it for 8 people and 3 nights starting Thursday?;USER;book_hotel,find_attraction,
5;Sure the Autumn House is a personal favorite. Your booking was successful.;SYSTEM;
6;Great. What was the reference number for the booking?;USER;book_hotel,
7;Yes, it's 1GFITCAU .;SYSTEM;
8;OK. Thanks for your help. I look forward to the stay.;USER;
9;Wonderful. Have a nice time. Can I reserve a taxi for you?;SYSTEM;
10;No, that is all thanks.;USER;
11;Then, thank you for calling the Cambridge TownInfo Centre. Goodbye.;SYSTEM;
0;Need a restaurant that is moderate priced and in the centre.;USER;find_restaurant,find_train,
1;There are quite a few moderately priced restaurants in the centre. Can you help me by telling me what kind of food you're looking for?;SYSTEM;
2;I am looking for a restaurant that serves Polish food,;USER;find_restaurant,
3;There is a lovely Polish restaurant called Barbakan, would you like me to make you a reservation?;SYSTEM;
4;Yes, that sounds great! Could you make the reservation for 4 please?;USER;find_restaurant,
5;I'm sorry, I must have made a mistake. There is no moderatly priced polish restaurant in the centre. Would you be interested in another type of food?;SYSTEM;
6;How about a place with British food? May as well get the full Cambridge experience! I'd like the address with postcode and phone number. Please don't reserve a table just yet.;USER;find_restaurant,find_train,
7;There are 4 to choose from, The Oak Bistro, The Copper Kettle, Restaurant One Seven, and Cotto. Do you have a preference?;SYSTEM;
8;Lets go with the Copper Kettle. I'd like their address as well.;USER;find_restaurant,
9;Sure thing! The Copper Kettle is located at 4 Kings Parade City Centre. Their postcode is cb21sj. You can reach them at 01223365068. Would you be needing a reservation after all?;SYSTEM;
10;yes and im also looking for a train from norwich on tuesday going to cambridge arriving by 19:15;USER;find_train,
11;I have a train from norwich to cambridge on tuesday that will leave at 17:16 and arrive by 18:35. Will this work for you?;SYSTEM;
12;Yes that will work what is the price of the ticket?;USER;find_train,
13;It'll be 17.60 pounds.;SYSTEM;
14;Thanks, that's all I need. Have a nice day.;USER;
15;You're welcome, have a nice day, too.;SYSTEM;
0;I am looking for a restaurant that serves mediterranean food.;USER;find_restaurant,
1;There are three, expensive, one cheap. Which would you prefer?;SYSTEM;
2;Can you give me the info on the cheap one? I'd like to book a reservation, if necessary, at 11 am on Wednesday for 5 people.;USER;book_restaurant,
3;The Gardenia is located at 2 Rose Crescent City Centre. I have booked your table at this restaurant for five people, Wednesday at 11 am. Your reference number is DU8IWQZ2 .;SYSTEM;
4;I need a train also that goes from cambridge to norwich, please.;USER;book_restaurant,find_train,
5;I can help you with that, when will you be traveling?;SYSTEM;
6;Thurs. would like to arrive by 08:15 please. I am going to norwich from cambridge.;USER;find_train,
7;What day will you be traveling?;SYSTEM;
8;I will be traveling on thursday.;USER;find_train,
9;The TR2266 arrives in Norwich at 07:55. Would you like me to book you a ticket?;SYSTEM;
10;Yes please, for the same amount of people. I need the reference number too.;USER;book_train,
11;I was able to book 5 tickets for you on that train. Your reference number is IVPL00U2 . Is there anything else for today?;SYSTEM;
12;That'll be it, thanks so much for your help!;USER;
13;You are very welcome. Have a safe trip!;SYSTEM;
0;Yes, I need information about a train. Do you have information on trains departing from bishops stortford?;USER;find_train,
1;Sure, there are 70 trains departing from Bishops Stortford. What is your destination?;SYSTEM;
2;I'll be heading for Cambridge.;USER;find_train,
3;What day and time would you like to travel.;SYSTEM;
4;I am leaving on saturday after 10:15.;USER;find_train,
5;Is there a time you need to arrive by?;SYSTEM;
6;When are the arrival times? I'm also looking for information on all saints church. What can you tell be about it?;USER;find_attraction,find_train,
7;TR4594 will arrive by 12:07 if that works for you?;SYSTEM;
8;I can make that work.;USER;find_attraction,find_train,
9;Okay, before we look for the church, just to clarify your travel, the TR4594 departs Bishops Stortford 11:29, arrives Cambridge 12:07. Would you like to book a ticket on this train?;SYSTEM;
10;Yes for Saturday.I also want to know the nearby attraction called all saints church , address and area please;USER;find_attraction,find_train,
11;Well its architecture located in the centre of cambridge on jesus lane.;SYSTEM;
12;Great, thanks. Oh, and I don't actually need a booking for that train, so I think that's all I needed. Sorry I keep confusing the matter.;USER;find_attraction,find_train,
13;Don't worry about it. Thank you for contacting Cambridge TownInfo Centre, and please don't hesitate to reach out again if you need more help!;SYSTEM;
0;Are there any chinese food restaurants in the south?;USER;find_restaurant,find_hotel,
1;there are 3. what is your price range?;SYSTEM;
2;Thank you! I do not care about the price range.;USER;find_restaurant,
3;How about peking restaurant?;SYSTEM;
4;Great, could we have a table for 8 on monday at 17:00?;USER;book_restaurant,
5;Your table at the Peking Restaurant is booked, ref #N2XF9GWQ . Can I help you with anything else today?;SYSTEM;
6;Yes, I need a guesthouse with free wifi.;USER;find_hotel,
7;There are 23 guesthouses with free wifi. Would you like to stay in the south near the restaurant?;SYSTEM;
8;Yes please, and I'll need free parking as well.;USER;find_hotel,
9;I think allenbell would fit your needs. Want me to book it?;SYSTEM;
10;Well how many stars does it have?;USER;find_hotel,
11;My apologies. Allenbell is not in the south. However, I highly recommend the 4 star Aylesbray Lodge located in the south and moderately priced. Can I help you with your booking?;SYSTEM;
12;How many stars, also the postcode and address? I will also need a taxi and want it to arrive by 17:00. Contact number and car type.;USER;find_taxi,book_restaurant,find_hotel,
13;It is four stars. 5 Mowbray road. Shall I book it?;SYSTEM;
14;just find me the postcode and address.;USER;find_hotel,
15;The address is 5 mowbray road in the postcode, cb17sr. Do you still need a taxi?;SYSTEM;
16;Yes. I'm leaving Aylesbray Lodge and need to be at Peking Restaurant by 17:00. Please get me the contact number and car type.;USER;find_taxi,book_restaurant,
17;I've booked you a yellow BMW departing the guesthouse and arriving and peking restaurant prior to your 17:00 reservation. You can reach the driver at 07462630170.;SYSTEM;
18;Thanks. That is all for today.;USER;
19;you are welcome. enjoy your stay.;SYSTEM;
0;I am looking for a expensive restaurant that serves modern european food.;USER;find_restaurant,
1;I have a listing for on in he centre of town would that be okay?;SYSTEM;
2;Yes, that would be great!;USER;find_restaurant,
3;I would recommend the darrys cookhouse and wine shop for you. Should I make a booking for you and your party?;SYSTEM;
4;Could you give me the address and phone number?;USER;find_restaurant,
5;The address is 40270 King Street City Centre and the phone number is 01223505015.;SYSTEM;
6;Thanks a lot. Can you also help me find a theatre in the centre of town also?;USER;find_restaurant,find_attraction,
7;Adc theatre is a great place to visit. Its located in the centre of town on park street. Can I help you with anything else?;SYSTEM;
8;What is the exact address?;USER;find_attraction,
9;The adress is 40270 King Street City Centre can I help you with anything else?;SYSTEM;
10;No. All set. Thanks.;USER;
11;Alright, have a great day.;SYSTEM;
0;I am looking for a swimmingpool.;USER;find_attraction,
1;There are 4. What area do you prefer?;SYSTEM;
2;I would prefer one in the centre of town. Is there any there?;USER;find_attraction,
3;Yes, parkside pools is located at gonville place cb11ly in the center are. The phone number is 01223446100.;SYSTEM;
4;Alright. Do you know if there is an entrance fee at that pool?;USER;find_attraction,
5;I'm sorry, there is no info on an entrance fee. Anything else I can help you with?;SYSTEM;
6;I'm also looking for a train departing London kings cross on Thursday to arrive in Cambridge by 10:45;USER;find_train,
7;There are 3 trains. The last one that would get you here on time is TR8410 leaving 9:17 and arriving 10:08. Would you like me to book this for you?;SYSTEM;
8;Yes that sounds perfect!;USER;find_train,
9;Great, how many tickets for the train would you like?;SYSTEM;
10;I just need the departure time and train ID plase;USER;find_train,
11;The train ID is TR8410 and it departs at 9:17. Can I help you with anything else?;SYSTEM;
12;That'll be all. Thank you for the help!;USER;
13;You are welcome, please contact us if we can ever help you again.;SYSTEM;
0;i am looking for an expensive restaurant in the centre part of town.;USER;find_restaurant,
1;There are 33 expensive restaurants in the centre of town. Did you have a type of food in mind?;SYSTEM;
2;Can you give me a couple of examples of different cuisines that are available?;USER;find_restaurant,
3;There is African, Asian Oriental, British, Chinese, European, French, Gastropub, Indian, Italian, Japanese, Korean, Mediterranean, Modern European, North American, Seafood, Thai, and Turkish food available in the centre.;SYSTEM;
4;Let's go with Korean. What kind of expensive Korean restaurants do you have available?;USER;find_restaurant,
5;Little Seoul at 108 Regent Street City Centre is very good.;SYSTEM;
6;That sounds good. Could I get the postcode for Little Seoul please?;USER;find_restaurant,find_attraction,
7;The post code for little seoul is cb21dp.;SYSTEM;
8;I need the phone number and address of saint catherine's college and a taxi to commute both distance. Need to know the car type and also have the taxi number.;USER;find_attraction,find_taxi,
9;Okay! They are at King's Parade, CB21RL. Their phone number is 01223338300. What time would you like to depart in the taxi?;SYSTEM;
10;I need a taxi to commute between the two places. I need to leave the restaurant by 18:15 and need the contact # and car type;USER;find_taxi,
11;I've booked your taxi. You'll be looking for a red tesla. If you need to contact the driver, the number is 07464036678. Can I do anything else for you today?;SYSTEM;
12;No thank you.;USER;
13;Okay then have a great day!;SYSTEM;
0;Get me a taxi to hughes hall please;USER;find_taxi,
1;When will you be leaving?;SYSTEM;
2;I'd like to leave after 15:15.;USER;find_taxi,
3;I'd be happy to help! Where are you coming from?;SYSTEM;
4;I am coming from arbury lodge guesthouse.;USER;find_taxi,
5;I have a red audi with contact number 07384817213 booked for you.;SYSTEM;
6;Great, thanks so much! Bye!;USER;
7;Thank you for using our services.;SYSTEM;
0;Is there an expensive African restaurant in town.;USER;find_restaurant,
1;Yes, The Bedouin in the city centre is a good, expensive restaurant.;SYSTEM;
2;Excellent! I don't need a table right now, but if you could give me the address and phone number, that would be great.;USER;find_restaurant,
3;It is located at 100 Mill Road City Centre and the phone number is 01223367660. Is there anything else I can help you with?;SYSTEM;
4;No thanks. That would be all for today. Have a nice day.;USER;
5;You're welcome, goodbye;SYSTEM;
0;Can you help me find a guesthouse in the north?;USER;find_hotel,
1;There are 11 guesthouses in the north. Do you have a price range?;SYSTEM;
2;No particular price range, but it should be 4 star rated.;USER;find_hotel,
3;Five of those guesthouses are rated four stars. Are there any particular commodities you need at the guesthouse?;SYSTEM;
4;I would like one with internet. What are the price ranges for those?;USER;find_hotel,
5;Actually, there are 8 guesthouses in the north with four stars and internet. 7 are in the moderate price range and one is on the cheaper side.;SYSTEM;
6;As long as it's a guesthouse in the north with 4 stars it'll be fine. Just recommend one to me please.;USER;find_hotel,
7;I found the Acorn Guest House, would you like me to book it for you?;SYSTEM;
8;No, I just need the address, price range and I need to know if they have internet.;USER;find_hotel,
9;They are a moderate priced guesthouse located at 154 chesterton road with free wifi. I can reserve that for you if you'd like.;SYSTEM;
10;No but I would like a train on wednesday at 15:30 from stansted airport to cambridge.;USER;find_train,
11;I have a train leaving at 16:24 from stansted airport. Would you like me to book that for you?;SYSTEM;
12;The train needs to arrive by 15:30;USER;find_train,
13;I'm sorry, the earliest arrival time available is 16:52 on Wednesday with a departure time of 16:24. Would you prefer Tuesday?;SYSTEM;
14;Could you please check again? I was pretty certain there was a train from stansted airport that would get me to caimbridge by 15:30 on wednesday.;USER;find_train,
15;There is a train on Tuesday, TR0135 leaves Stansted airport at 14:24 and arrives in Cambridge at 14:52, would you like to book it?;SYSTEM;
16;Yes, please book it for 8 people and then give me the reference number;USER;book_train,
17;Actually the Wednesday schedule shows TR5499 with an arrival of 14:52. Your group is booked with the reference number I48FCAAZ . The total fee is 80.8 GBP. Is there anything else?;SYSTEM;
18;Well I think we got everything done today. Thanks for the help. Goodbye.;USER;book_train,
19;I hope you enjoy your trip. Have a great day and goodbye.;SYSTEM;
0;I'm looking for a moderately priced indian restaurant.;USER;find_restaurant,
1;I have several options for you. What area would you like to dine in today?;SYSTEM;
2;In the West part of town for 3 people;USER;find_restaurant,
3;Meghna looks like it will be perfect for you. What day and time would you like to book the table for?;SYSTEM;
4;I would like the reservation to be for 6 people at 17:30 on Wednesday.;USER;book_restaurant,find_taxi,
5;The reservation at Meghna was successfull for Wednesday at 17:30 for 6 people. The Reference number is : X1A261KF .;SYSTEM;
6;Thank you. Can you help me find a concerthall in town to visit?;USER;find_attraction,
7;The Man on the Moon is located in the centre area at 2 Norfolk Street.;SYSTEM;
8;What is the entrance fee there?;USER;find_attraction,
9;There appears to be no information for the entrance fee, you can call and inquire with the concerthall at 01223474144. Is there anything else I can assist you with?;SYSTEM;
10;I want a taxi to go from the attraction to the restaurant, arriving by 17:30. Tell me the contact number and car type please.;USER;find_taxi,book_restaurant,
11;Booking was complete your car will be a red honda and the contact # is 07583896240. Is there anything else I can help you with?;SYSTEM;
12;Do you have their phone number?;USER;find_taxi,
13;Yes, their contact number is 07583896240. Do you need anything else?;SYSTEM;
14;No, that's all for today. Thank you and goodbye!;USER;
15;Thank you and enjoy your stay in Cambridge!;SYSTEM;
0;I'm looking for a 2 star hotel.;USER;find_hotel,
1;There are 3 hotels that have a 2 star rating. Is there a price range you are wanting?;SYSTEM;
2;Not really, but it needs to be in the east and include free wifi.;USER;find_hotel,
3;The only hotel that is in the east with free wifi is express by holiday inn cambridge. Would you like to go ahead and book a room?;SYSTEM;
4;Yes, for two nights please.;USER;book_hotel,
5;Before I can book a room for you I need to know a few details. What day would you arrive? How many days would you stay? How many people are staying?;SYSTEM;
6;I just need the phone number for the hotel please.;USER;book_hotel,
7;The phone number for the Express by Holiday Inn Cambridge is 01223866800. Can I help you with booking for this hotel?;SYSTEM;
8;No, but I'd like to know the address and phone number for wandlebury country park.;USER;find_attraction,
9;The phone number for Wandlebury Country Park is 01223243830. Is there anything else I can assist you with?;SYSTEM;
10;May I also get the address for wandlebury country park please.;USER;find_attraction,
11;The number is 0122324380.;SYSTEM;
12;What is the address, please?;USER;find_attraction,
13;The address is wandlebury ring, gog magog hills, babraham.;SYSTEM;
14;Was there anything else I could help you with today?;USER;find_attraction,
15;Have all of your needs been met for today? Do you require further assistance with anything?;SYSTEM;
16;No. I have everything I need. Thank you and goodbye.;USER;
17;Thank you for using our service. Have a great day!;SYSTEM;
0;Hello, I am looking for a restaurant that is in the town centre that serves Chinese food.;USER;find_restaurant,
1;There are many restaurants that fit your specifications. Do you have a price range in mind?;SYSTEM;
2;The moderate price range would be best.;USER;find_restaurant,find_train,
3;I found three moderate chinese restaurants. Would you like to book at jinling noodle bar?;SYSTEM;
4;Yes please. Please provide the phone number before you book.;USER;find_restaurant,
5;The phone number is 01223566188. Is there anything else I can help you with today?;SYSTEM;
6;Yes, I'm also looking for a train departing after 8:45 to Bishops Stortford.;USER;find_train,
7;I can help you with that, where will you be departing from?;SYSTEM;
8;From Cambridge on Saturday.;USER;find_train,
9;The closest, unfortunately, is the TR3396 that departs at 09:29, which does leave a 44 minute wait for you. Do you still want me to book this for you?;SYSTEM;
10;Could you give me the price for this train, please?;USER;find_train,
11;The price is 8.08 GBP per ticket. Is there anything else I can help with today?;SYSTEM;
12;I think that should be it thank you;USER;find_train,
13;How many people are you booking for?;SYSTEM;
14;I am booking for one person.;USER;book_train,
15;Your booking was successful, reference number is N2J38YE1 .;SYSTEM;
16;Thanks, that's all for today.;USER;
17;Thank you for using our service. Goodbye!;SYSTEM;
0;Where is the University Arms Hotel?;USER;find_hotel,
1;It is in the centre of town on regent street. Would you like to book a room?;SYSTEM;
2;Please. I need a room on monday for three nights, and 6 people.;USER;book_hotel,find_train,
3;Okay, your booking was successful! Your reference number is NA8FW4OS .;SYSTEM;
4;Great, thanks. I also want to find out some info on the train schedule from Ely to Cambridge.;USER;find_train,
5;There are 70 trains scheduled. Did you have a date or time in mind?;SYSTEM;
6;same day as the hotel booking;USER;find_train,
7;The first train leaves at 05:35 and they leave every 2 hours after that until 23:35.;SYSTEM;
8;okay, I need to arrive by 20:00, so the closest one to that time please.;USER;find_train,
9;There is TR6679. It leaves at 19:35 and arrives at 19:52. Is that good for you?;SYSTEM;
10;Sounds good. May I have the travel time and ticket price, please?;USER;find_train,
11;Sure, it takes 17 minutes and costs 4.40 pounds.;SYSTEM;
12;Okay great, could you book me a seat?;USER;find_train,
13;Sure thing. I will work on that for you and be right back with you.;SYSTEM;
14;What is the departure time for this train? Thank so much!;USER;find_train,
15;It departs at 19:35. Can I help you book passage?;SYSTEM;
16;No, I don't need to book any tickets at this time.;USER;find_train,
17;OKay, Do you need any more info then?;SYSTEM;
18;no that is enough thank youu;USER;
19;Is there anything else i can do for you today?;SYSTEM;
