turn_id;speaker;utterance;dialogue_act
5; SYSTEM ; Actually, there are 8 guesthouses in the north with four stars and internet. 7 are in the moderate price range and one is on the cheaper side.;Hotel-Inform
6; USER ; As long as it's a guesthouse in the north with 4 stars it'll be fine. Just recommend one to me please.;Hotel-Inform
7; SYSTEM ; I found the Acorn Guest House, would you like me to book it for you?;Booking-Inform
8; USER ; No, I just need the address, price range and I need to know if they have internet.;Hotel-Request
9; SYSTEM ; They are a moderate priced guesthouse located at 154 chesterton road with free wifi. I can reserve that for you if you'd like.;Booking-Inform
10; USER ; No but I would like a train on wednesday at 15:30 from stansted airport to cambridge.;Train-Inform
11; SYSTEM ; I have a train leaving at 16:24 from stansted airport. Would you like me to book that for you?;Booking-Inform
12; USER ; The train needs to arrive by 15:30;Train-Inform
13; SYSTEM ; I'm sorry, the earliest arrival time available is 16:52 on Wednesday with a departure time of 16:24. Would you prefer Tuesday?;Train-Inform
14; USER ; Could you please check again? I was pretty certain there was a train from stansted airport that would get me to caimbridge by 15:30 on wednesday.;Train-Inform
15; SYSTEM ; There is a train on Tuesday, TR0135 leaves Stansted airport at 14:24 and arrives in Cambridge at 14:52, would you like to book it?;Train-Inform
16; USER ; Yes, please book it for 8 people and then give me the reference number;Train-Inform
17; SYSTEM ; Actually the Wednesday schedule shows TR5499 with an arrival of 14:52. Your group is booked with the reference number I48FCAAZ . The total fee is 80.8 GBP. Is there anything else?;Train-Inform
18; USER ; Well I think we got everything done today. Thanks for the help. Goodbye.;general-bye
19; SYSTEM ; I hope you enjoy your trip. Have a great day and goodbye.;general-bye
0; USER ; I'm looking for a moderately priced indian restaurant.;Restaurant-Inform
1; SYSTEM ; I have several options for you. What area would you like to dine in today?;Restaurant-Inform
2; USER ; In the West part of town for 3 people;Restaurant-Inform
3; SYSTEM ; Meghna looks like it will be perfect for you. What day and time would you like to book the table for?;Booking-Request
4; USER ; I would like the reservation to be for 6 people at 17:30 on Wednesday.;Restaurant-Inform
5; SYSTEM ; The reservation at Meghna was successfull for Wednesday at 17:30 for 6 people. The Reference number is : X1A261KF .;Booking-Book
6; USER ; Thank you. Can you help me find a concerthall in town to visit?;Attraction-Inform
7; SYSTEM ; The Man on the Moon is located in the centre area at 2 Norfolk Street.;Attraction-Inform
8; USER ; What is the entrance fee there?;Attraction-Request
9; SYSTEM ; There appears to be no information for the entrance fee, you can call and inquire with the concerthall at 01223474144. Is there anything else I can assist you with?;Attraction-Inform
10; USER ; I want a taxi to go from the attraction to the restaurant, arriving by 17:30. Tell me the contact number and car type please.;Restaurant-Inform
11; SYSTEM ; Booking was complete your car will be a red honda and the contact # is 07583896240. Is there anything else I can help you with?;Taxi-Inform
12; USER ; Do you have their phone number?;Taxi-Request
13; SYSTEM ; Yes, their contact number is 07583896240. Do you need anything else?;Taxi-Inform
14; USER ; No, that's all for today. Thank you and goodbye!;general-bye
15; SYSTEM ; Thank you and enjoy your stay in Cambridge!;general-bye
0; USER ; I'm looking for a 2 star hotel.;Hotel-Inform
1; SYSTEM ; There are 3 hotels that have a 2 star rating. Is there a price range you are wanting?;Hotel-Inform
2; USER ; Not really, but it needs to be in the east and include free wifi.;Hotel-Inform
3; SYSTEM ; The only hotel that is in the east with free wifi is express by holiday inn cambridge. Would you like to go ahead and book a room?;Booking-Inform
4; USER ; Yes, for two nights please.;Hotel-Inform
5; SYSTEM ; Before I can book a room for you I need to know a few details. What day would you arrive? How many days would you stay? How many people are staying?;Booking-Request
6; USER ; I just need the phone number for the hotel please.;Hotel-Inform
7; SYSTEM ; The phone number for the Express by Holiday Inn Cambridge is 01223866800. Can I help you with booking for this hotel?;Booking-Inform
8; USER ; No, but I'd like to know the address and phone number for wandlebury country park.;Attraction-Inform
9; SYSTEM ; The phone number for Wandlebury Country Park is 01223243830. Is there anything else I can assist you with?;Attraction-Inform
10; USER ; May I also get the address for wandlebury country park please.;Attraction-Request
11; SYSTEM ; The number is 0122324380.;Attraction-Inform
12; USER ; What is the address, please?;Attraction-Request
13; SYSTEM ; The address is wandlebury ring, gog magog hills, babraham.;Attraction-Inform
14; USER ; Was there anything else I could help you with today?;Attraction-Request
15; SYSTEM ; Have all of your needs been met for today? Do you require further assistance with anything?;general-reqmore
16; USER ; No. I have everything I need. Thank you and goodbye.;general-bye
17; SYSTEM ; Thank you for using our service. Have a great day!;general-bye
0; USER ; Hello, I am looking for a restaurant that is in the town centre that serves Chinese food.;Restaurant-Inform
1; SYSTEM ; There are many restaurants that fit your specifications. Do you have a price range in mind?;Restaurant-Inform
2; USER ; The moderate price range would be best.;Restaurant-Inform
3; SYSTEM ; I found three moderate chinese restaurants. Would you like to book at jinling noodle bar?;Booking-Inform
4; USER ; Yes please. Please provide the phone number before you book.;Restaurant-Request
5; SYSTEM ; The phone number is 01223566188. Is there anything else I can help you with today?;Restaurant-Inform
6; USER ; Yes, I'm also looking for a train departing after 8:45 to Bishops Stortford.;Train-Inform
7; SYSTEM ; I can help you with that, where will you be departing from?;Train-Request
8; USER ; From Cambridge on Saturday.;Train-Inform
9; SYSTEM ; The closest, unfortunately, is the TR3396 that departs at 09:29, which does leave a 44 minute wait for you. Do you still want me to book this for you?;Train-Inform
10; USER ; Could you give me the price for this train, please?;Train-Request
11; SYSTEM ; The price is 8.08 GBP per ticket. Is there anything else I can help with today?;Train-Inform
12; USER ; I think that should be it thank you;general-thank
13; SYSTEM ; How many people are you booking for?;Train-Request
14; USER ; I am booking for one person.;Train-Inform
15; SYSTEM ; Your booking was successful, reference number is N2J38YE1 .;Train-OfferBooked
16; USER ; Thanks, that's all for today.;general-thank
17; SYSTEM ; Thank you for using our service. Goodbye!;general-bye
0; USER ; Where is the University Arms Hotel?;Hotel-Inform
1; SYSTEM ; It is in the centre of town on regent street. Would you like to book a room?;Booking-Inform
2; USER ; Please. I need a room on monday for three nights, and 6 people.;Hotel-Inform
3; SYSTEM ; Okay, your booking was successful! Your reference number is NA8FW4OS .;Booking-Book
4; USER ; Great, thanks. I also want to find out some info on the train schedule from Ely to Cambridge.;Train-Inform
5; SYSTEM ; There are 70 trains scheduled. Did you have a date or time in mind?;Train-Inform
6; USER ; same day as the hotel booking;Train-Inform
7; SYSTEM ; The first train leaves at 05:35 and they leave every 2 hours after that until 23:35.;Train-Inform
8; USER ; okay, I need to arrive by 20:00, so the closest one to that time please.;Train-Inform
9; SYSTEM ; There is TR6679. It leaves at 19:35 and arrives at 19:52. Is that good for you?;Train-Inform
10; USER ; Sounds good. May I have the travel time and ticket price, please?;Train-Request
11; SYSTEM ; Sure, it takes 17 minutes and costs 4.40 pounds.;Train-Inform
12; USER ; Okay great, could you book me a seat?;Train-Inform
13; SYSTEM ; Sure thing. I will work on that for you and be right back with you.;Train-OfferBook
14; USER ; What is the departure time for this train? Thank so much!;Train-Request
15; SYSTEM ; It departs at 19:35. Can I help you book passage?;Train-Inform
16; USER ; No, I don't need to book any tickets at this time.;Train-Inform
17; SYSTEM ; OKay, Do you need any more info then?;general-reqmore
18; USER ; no that is enough thank youu;general-thank
19; SYSTEM ; Is there anything else i can do for you today?;general-reqmore
20; USER ; That's it! Bye!;general-bye
21; SYSTEM ; If you need anything else, don't hesitate to ask. Have a good day.;general-bye
0; USER ; Im looking for an italian restaurant. I also need it to be near the center of town.;Restaurant-Inform
1; SYSTEM ; There are 9 italian restaurants in the center of town. Do you have a particular price range in mind?;Restaurant-Inform
2; USER ; i need a cheap restaurant;Restaurant-Inform
3; SYSTEM ; There is Pizza Hut City Centre, Ask, and Zizzi Cambridge, which would you like to book?;Booking-Inform
4; USER ; Can you book a table for 7 at Ask? We're looking at 14:00 on Saturday.;Restaurant-Inform
5; SYSTEM ; Sorry, there are no tables available at Ask at that time. Would you like to book another day or time, or perhaps another restaurant?;Booking-NoBook
6; USER ; Can you try 13:00, then?;Restaurant-Inform
7; SYSTEM ; 13:00 it is. Your table at Ask will be held for 15 minutes, and your reference number is L2KZYL26 . Can I help you with anything else?;Booking-Book
8; USER ; I'm also looking for a hotel;Hotel-Inform
9; SYSTEM ; We have 33 different hotels. Did you have a price range or star rating in mind?;Hotel-Inform
10; USER ; Something in the cheap price range including free parking;Hotel-Inform
11; SYSTEM ; What area would you prefer to stay in? This will help narrow down your options.;Hotel-Request
12; USER ; I would like to book a hotel close to our restaurant here in the centre, it will also need to be cheap, and have free parking.;Hotel-Inform
13; SYSTEM ; There are two hotels available. Would you like me to book one for you?;Booking-Inform
14; USER ; Yes please. The our group of 7 will all be staying there for 3 nights starting Saturday.;Hotel-Inform
15; SYSTEM ; I've booked you a 3 day stay at the Alexander Bed and Breakfast for 7 people. Do you need anything else?;Booking-Book
16; USER ; Could I have the reference number for that reservation please?;Hotel-Request
17; SYSTEM ; Yes, your reference number is 1JBO1R08 .;Hotel-Inform
18; USER ; Thank you so much for all of your help. That is all I needed for now. Have a nice day.;general-bye
19; SYSTEM ; Thank you for choosing us to assist you on your travels. Have a good day.;general-bye
0; USER ; I am looking for city centre north b and b;Hotel-Inform
1; SYSTEM ; I have found the guesthouse you were wanting. Would you like me to book this for you?;Booking-Inform
2; USER ; Yes, please book it for 1 person and for 5 nights starting Friday.;Hotel-Inform
3; SYSTEM ; Your booking was successful. The reference number is : BE1VD9EH .;Booking-Book
4; USER ; Great, thank you so much.;general-thank
5; SYSTEM ; You are very welcome!;general-welcome
0; USER ; Hi! I'm planning a trip in Cambridge and I'm looking for a restaurant in the west part of town.;Restaurant-Inform
1; SYSTEM ; There are fourteen restaurants in the west. Is there any kind of food you're looking for?;Restaurant-Inform
2; USER ; how about you suggest one a book a table for 4 on tuesday at 15:45 and I need the reference number too please;Restaurant-Inform
3; SYSTEM ; I was able to book saint johns chop house, reference number is G579W1K0;Booking-Book
4; USER ; Can you please book a train to Cambridge that arrives by 11:30?;Train-Inform
5; SYSTEM ; There are many! What is your departure station, and what day are you traveling?;Train-Inform
6; USER ; The same day as the booking, and I'm coming from birmingham new street.;Train-Inform
7; SYSTEM ; TR0254 would leave at 05:40 and arrive by 08:23. Is this too early for you?;Train-Inform
8; USER ; Is there a train that arrives closer to 11:30? If so I just need the id, price, and travel time.;Train-Inform
9; SYSTEM ; Yes, TR2761 will arrive by 11:23. The travel time is 163 minutes and it will cost 75.10 pounds. Would you like for me to book it for you?;Train-Inform
10; USER ; Yes, please. Thanks.;general-thank
11; SYSTEM ; Booked for 1 ticket. Reference number is : S4JY176M .;Train-OfferBooked
12; USER ; I'm also looking for a train going to cambridge by 11:30;Train-Inform
13; SYSTEM ; Booked. The total fee is 75.09 GBP payable at the station reference number S4JY176M . Is there anything else I can do for you today?;Train-OfferBooked
14; USER ; That will be all, thanks for your help.;general-thank
15; SYSTEM ; You are very welcome. It has been a pleasure assisting you today. Have a wonderful day. Goodbye.;general-bye
0; USER ; I need some time in the sun, can you help me find a park to visit?;Attraction-Inform
1; SYSTEM ; Cherry Hinton Water Play is in the east and is free admission.;Attraction-Inform
2; USER ; Can I get the phone number and address?;Attraction-Request
3; SYSTEM ; Their address is Cherry Hinton Hall, Cherry Hinton Road. The phone number to reach them is 01223446100. Is there any other info you need?;Attraction-Inform
4; USER ; Yeah, I also need to find a train to hop on for Tuesday.;Train-Inform
5; SYSTEM ; Where will you be departing from and traveling to?;Train-Request
6; USER ; I will be departing from Birmingham New Street and will be traveling to Cambridge.;Train-Inform
7; SYSTEM ; What time would you like to leave by or arrive by?;Train-Request
8; USER ; I would like to arrive by 15:00 in Cambridge.;Train-Inform
9; SYSTEM ; TR9708 will arrive in Cambridge by 14:23, would you like to book a ticket?;Train-Inform
10; USER ; No, thank you. What is the price?;Train-Request
11; SYSTEM ; The price for the train that will arrive at 14:23 and leaves at 11:40 is 75.10 pounds. Is there anything I can assist you with?;Train-Inform
12; USER ; No, that was everything I needed, thank you for your help.;general-thank
13; SYSTEM ; Great, glad I could help!;general-greet
0; USER ; Hello, I am doing research on plant life in England, and visiting cambridge as part of that, can you give me more info on the cambridge university botanic gardens.;Attraction-Inform
1; SYSTEM ; That sounds like an exciting trip! Cambridge University Botanic Gardens is located in the centre of town on Bateman Street. Its admission fee is 4 pounds.;Attraction-Inform
2; USER ; That sounds perfect for what I am looking for. Can you tell me what type of attraction that is considered?;Attraction-Request
3; SYSTEM ; There is a beautiful park uniquely decorated with well scented flowers i bet you might have never seen. Do you want to buy an entrance ticket for that?;Attraction-Inform
4; USER ; Uh...no thanks. Can you help me find a train going to Stevenage?;Train-Inform
5; SYSTEM ; Where you will be traveling from and when would you like to leave?;Train-Request
6; USER ; The train should leave after 09:30. depart from cambridge and should leave on tuesday;Train-Inform
7; SYSTEM ; The earliest train after that time is TR6009. It departs at 11:21 and arrives in Stevenage at 12:10. Would that work or do you prefer a later train?;Train-Inform
8; USER ; That sounds fine. How long will the travel time be?;Train-Request
9; SYSTEM ; The travel time is 49 minutes. Would you like a ticket?;Train-Inform
10; USER ; Yes, Please book me a round trip ticket and can you locate a cheap diner.;Restaurant-Inform
11; SYSTEM ; What type of food would you like?;Restaurant-Request
12; USER ; I do not need a ticket booked. I do not need anything else. Thank you.;general-thank
13; SYSTEM ; Are you sure you don't need anything else?;general-reqmore
14; USER ; No that is it. Thank you.;general-thank
15; SYSTEM ; Ok. thank you and goodbye;general-bye
0; USER ; I need a Monday train, after 13:30 leaving time please.;Train-Inform
1; SYSTEM ; I can help you with that. What day would you like to travel, what is your destination?;Train-Request
2; USER ; I would like to leave on monday and should leave after 13:30. I want it to go to london liverpoool street.;Train-Inform
3; SYSTEM ; Ok Train TR1764 leaves at 13:59 would you like me to book that for you;Train-Inform
4; USER ; Book it for 2 people.;Train-Inform
5; SYSTEM ; OK, got your booking. The total fee is 33.2 GBP payable at the station, and the reference number is: Q4MDUZUT . Anything else today?;Train-OfferBooked
6; USER ; Yes, I also need some lodging accommodations. I'd like to find a guesthouse that offers free parking, please.;Hotel-Inform
7; SYSTEM ; There are 21 guesthouses in the city that offer free parking. Is there a certain price point or area of the city that you'd prefer?;Hotel-Inform
8; USER ; I want a moderate price range in the north.;Hotel-Inform
9; SYSTEM ; That narrows it down to about 7 places. All of them are 4 stars except one. Might I suggest the Kirkwood House. They have great reviews.;Hotel-Inform
10; USER ; Let's book that one then! Super excited! Same group of people, same day, 3 nights!;Hotel-Inform
11; SYSTEM ; I was able to book at room at the Kirkwood House for you, Ref#Y7GS4CIZ . Is there anything else I can help you with today?;Booking-Book
12; USER ; Nope, that's all I need today - thanks!;general-thank
13; SYSTEM ; Excellent! Enjoy your visit!;general-bye
0; USER ; Hi there. Can you help me find a train to Cambridge on Thursday?;Train-Inform
1; SYSTEM ; I can. Will you be departing from London Kings Cross?;Train-Request
2; USER ; No, I'm coming from Ely.;Train-Inform
3; SYSTEM ; What time would you like to travel?;Train-Request
4; USER ; I would like to arrive in Cambridge by 16:15.;Train-Inform
5; SYSTEM ; I would recommend the TR7745 train that arrives at 07:52. Would that work?;Train-Inform
6; USER ; I need the travel time for that.;Train-Request
7; SYSTEM ; It is 17 minutes.;Train-Inform
8; USER ; can you see about reservations at the aylesbray lodge guest house;Hotel-Inform
9; SYSTEM ; Yes, I can. Will it be for for just 1 night?;Booking-Request
10; USER ; Actually, let's not worry about booking it just now. Can you narrow down where it is for me with the area at postcode?;Hotel-Request
11; SYSTEM ; Sure. It's in the south of town with postcode cb17sr. Can I help you with anything else?;Hotel-Inform
12; USER ; No, that seems like everything. Go ahead and book it, and we should be done here.;general-thank
13; SYSTEM ; How many nights will you be staying?;Booking-Request
14; USER ; I'm sorry, I'm not ready to book yet. I can do it myself later. Thanks so much for all of your help. Bye.;general-bye
15; SYSTEM ; Sounds good. Thanks for using Cambridge TownInfo centre!;general-bye
0; USER ; Hello, I'm trying to find a train that goes from Cambridge to London Kings Cross. Can you help me book a ticket?;Train-Inform
1; SYSTEM ; I can help with that. Can you tell me what day you will be traveling?;Train-Request
2; USER ; I need to leave on Saturday after 18:45.;Train-Inform
3; SYSTEM ; The soonest departure time would be at 19:00 on saturday, is that okay?;Train-Inform
4; USER ; Yes, that's perfect. Can you book that for 8 people?;Train-Inform
5; SYSTEM ; You are all booked with reference number 144VDBRM . The cost of 151.04 GBP will be payable at the station. Can I be of further assistance today?;Train-OfferBooked
6; USER ; I'm looking for an expensive place to eat in the centre, what is there that fits that criteria?;Restaurant-Inform
7; SYSTEM ; There 33 places that fit your criteria. Do you have a particular cuisine type in mind so that I can narrow the results down?;Restaurant-Inform
8; USER ; It doesn't matter what kind of food. What would you recommend for a large group of 8 people?;Restaurant-Request
9; SYSTEM ; How about don pasquale pizzeria?;Restaurant-Inform
10; USER ; That sounds great. Please book it for 8 on Saturday at 14:15 and get a reference number.;Restaurant-Inform
11; SYSTEM ; Unfortunately, the restaurant doesn't have a table for that time. Can you do it earlier or later?;Booking-NoBook
12; USER ; How about 13:15?;Restaurant-Inform
13; SYSTEM ; Great. That was successful. Your reference number is Q0IJ8U6U .;Booking-Book
14; USER ; Thank you, you've been a great help.;general-thank
15; SYSTEM ; Is there anything else that I could help you with today?;general-reqmore
16; USER ; No thank you, that's all for now!;general-thank
17; SYSTEM ; Thank you for using our service. Have a great day. Goodbye.;general-bye
0; USER ; Please reserve for me a taxi that will pick me up at cambridge arts theatre after 09:30;Taxi-Inform
1; SYSTEM ; And where will you be going?;Taxi-Request
2; USER ; I'm going to restaurant one seven.;Taxi-Inform
3; SYSTEM ; Your booking is complete, a black audi will be picking you up.;Taxi-Inform
4; USER ; Thank you. I need the contact number, as well.;Taxi-Request
5; SYSTEM ; The contact number is 07351996173.;Taxi-Inform
0; USER ; I need a train to Cambridge on Monday.;Train-Inform
1; SYSTEM ; Can you tell me where you will be departing from?;Train-Request
2; USER ; I am leaving ely I need to arrive by 11:15.;Train-Inform
3; SYSTEM ; TR2987 leaves Ely at 9:35 and arrives in Cambridge at 9:52. Would you like to book a seat?;Train-Inform
4; USER ; Is there a later one that would still get us there by 11:15? I need 4 seats.;Train-Inform
5; SYSTEM ; That is the latest train for that day. Is that okay?;Train-Inform
6; USER ; Ok. You can book that one for 4 people.;Train-Inform
7; SYSTEM ; Booking was successful, the total fee is 17.6 GBP payable at the station . You Reference number is : E3F6RPQB . Can I help with anything else?;Train-OfferBooked
8; USER ; i'm also looking for a restaurant;Restaurant-Inform
9; SYSTEM ; There are many, many restaurants to chose one. Can you help me narrow it down?;Restaurant-Inform
10; USER ; Yes, I am looking for the Curry Garden.;Restaurant-Inform
11; SYSTEM ; Sure. Curry Garden is located in the city center and is expensive and good. Would you like me to make a reservation for you?;Booking-Inform
12; USER ; I don't need a reservation right now. What type of food do they serve?;Restaurant-Request
13; SYSTEM ; They serve indian food.;Restaurant-Inform
14; USER ; Can I get just the postcode and phone number please?;Restaurant-Request
15; SYSTEM ; Sure! Their phone number is 01223302330, and their postcode is CB21DP. Can I help you with anything else?;Restaurant-Inform
16; USER ; Nope, that's all for now. You've been a great help, thank you!;general-thank
17; SYSTEM ; You're welcome! Have a great day!;general-bye
0; USER ; I need a train to cambridge, please;Train-Inform
1; SYSTEM ; I would love to help you with that! Where is your departure location?;Train-Request
2; USER ; London liverpool street.;Train-Inform
3; SYSTEM ; What day are you leaving and what time to you want to depart?;Train-Request
4; USER ; I'd like to leave on Saturday and would like to arrive in Cambridge by 16:45.;Train-Inform
5; SYSTEM ; Train TR4078 suits you needs and arrives by 15:07. Shall I book it for you?;Train-Inform
6; USER ; Yea please book that train for 4 people.;Train-Inform
7; SYSTEM ; I have booked 4 seats on TR4078. The total is 53.12 GBP payable at the station. Your reference number is ES2CDQ5D . Is there anything else?;Train-OfferBooked
8; USER ; Yes, can you book the huntingdon marriott hotel for 4 people, 5 nights starting on Saturday?;Hotel-Inform
9; SYSTEM ; Sure! The booking was successful. Reference number is : WQ3PPKEB .;Booking-Book
10; USER ; Great, that's all I need today. Thanks for your help!;general-thank
11; SYSTEM ; You're welcome! Have a great trip!;general-bye
0; USER ;" I'm looking for a restaurant called ""restaurant one seven"". Can you help me?";Restaurant-Inform
1; SYSTEM ; It is in the centre of town located at De Vere University Arms Regent Street City Centre;Restaurant-Inform
2; USER ; That is the one. Can you make a reservation for 6 on Friday please? 12:00 would be good.;Restaurant-Inform
3; SYSTEM ; I booked that for your for a party of 6 at noon on Friday. The reference number is : 6WSK0KXY . Is there anything else you need?;Booking-Book
4; USER ; What is the price range of this restaurant?;Restaurant-Inform
5; SYSTEM ; it's a moderately priced restaurant.;Restaurant-Inform
6; USER ; I am also looking for a place to stay in the centre. It should be cheap.;Hotel-Inform
7; SYSTEM ; Alexander Bed and Breakfast is a nice 4 star guesthouse. Can I book a room for you?;Booking-Inform
8; USER ; Do they have free wifi?;Hotel-Inform
9; SYSTEM ; They do. Shall I book it?;Booking-Inform
10; USER ; Can you tell me if this a hotel or guesthouse and whether or not they have free parking please?;Hotel-Request
11; SYSTEM ; It is a guesthouse and they have parking. Would you like to book that?;Booking-Inform
12; USER ; Actually they will do but no need to book, I was just getting information.;Hotel-Inform
13; SYSTEM ; Ok great, is there anything else I can do for you?;general-reqmore
14; USER ; Is the parking free??;Hotel-Request
15; SYSTEM ; Yes. Parking at alexander bed and breakfast is free.;Hotel-Inform
16; USER ; Okay, thank you for all the help.;general-thank
17; SYSTEM ; anything else today?;general-reqmore
18; USER ; that is it for today thanks for askin;general-thank
19; SYSTEM ; Have a good afternoon. Bye.;general-bye
0; USER ; Please find me a place to dine that serves vegetarian food that's in the expensive price range.;Restaurant-Inform
1; SYSTEM ; Oh dear. I did a search for a cheap vegetarian restaurant and my computer doesn't list one. Would you like me to check the moderate range?;Restaurant-NoOffer
2; USER ; I am actually wanting the restaurant to be expensive and in the centre of town.;Restaurant-Inform
3; SYSTEM ; I am sorry but there are no restaurants matching that criteria. Would you like to try another price range or part of town?;Restaurant-NoOffer
4; USER ; Are there any expensive french restaurants in the centre?;Restaurant-Inform
5; SYSTEM ; Yes, one of my favorites. Cote on Bridge Street City Centre.;Restaurant-Recommend
6; USER ; Can you book a table for 5 at 17:00 on friday.;Restaurant-Inform
7; SYSTEM ; I booked a table for your party of 5 at Cote for Friday at 17:00. Your reference is B3LAV5Z1 and the table will be reserved for 15 minutes;Booking-Book
8; USER ; Can you help me with places to go? I like architecture.;Attraction-Inform
9; SYSTEM ; There are four churches and a place called old schools for architecture. They are all conveniently located in the center of town.;Attraction-Inform
10; USER ; Can you get me the phone number for old schools please?;Attraction-Inform
11; SYSTEM ; Yes, the phone number is 01223332320.;Attraction-Inform
12; USER ; Thank you for all your help today. Goodbye.;general-bye
13; SYSTEM ; You're welcome! Have a wonderful day!;general-bye
0; USER ; I need a train departing from Cambridge, leaving after 21:30.;Train-Inform
1; SYSTEM ; What time were you looking to arrive and what is your destination?;Train-Request
2; USER ; I need to go to Peterborough on Tuesday please;Train-Inform
3; SYSTEM ; The TR7663 departs at 21:34 and arrives in Peterborough at 22:24. Shall I book this for you?;Train-Inform
4; USER ; Yes, for 7 people please. I need the reference number.;Train-Inform
5; SYSTEM ; Booking was successful, the total fee is 115.5 GBP payable at the station. Reference number is : NBX6ZT2O .;Train-OfferBooked
6; USER ; I'm also looking for a restaurant in the south on the expensive side.;Restaurant-Inform
7; SYSTEM ; I have 5 results for expensive restaurants in the south. Are you in the mood for Chinese, Indian, Italian or Mexican food?;Restaurant-Inform
8; USER ; We are looking for indian food.;Restaurant-Inform
9; SYSTEM ; The Taj Tandoori is an expensive restaurant in the south. It is located at 64 Cherry Hinton Road. Would you like me to book it?;Booking-Inform
10; USER ; Yes, for 7 people at 10:30 on Tuesday.;Restaurant-Inform
11; SYSTEM ; Unfortunately the restaurant is full at that time. Would you like to try another time or day?;Booking-NoBook
12; USER ; How about 9:30?;Restaurant-Inform
13; SYSTEM ; I'm sorry, they don't offer that time. Would you like to try a later time?;Booking-NoBook
14; USER ; They have no 9:30?;
15; SYSTEM ; They have no bookings available Tuesday morning. Would you like to try afternoon or another restaurant?;Booking-NoBook
16; USER ; Let's try again. An expensive Indian restaurant in the south - Tuesday, 9:30, 7 people.;Restaurant-Inform
17; SYSTEM ; I am sorry that was not successful. Is there another time or day you would like to try?;Booking-NoBook
18; USER ; Hmmm, are you sure there is not an indian restaurant in the south that I can book for 9:30 on tuesday for 7 people?;Restaurant-Inform
19; SYSTEM ; No, I'm very sorry there is nothing that early. Would you like to try a different day?;Booking-NoBook
20; USER ; I would like you to try booking it again for 9:30 PM.;
21; SYSTEM ; OK, done! I have that booked with reference number BZY8VI7E . Do you need any other assistance?;Booking-Book
22; USER ; No thank you, that is all I needed.;general-thank
23; SYSTEM ; We are happy to help. Thank you for using our service.;general-bye
0; USER ; Can you help me find a moderately priced place to stay?;Hotel-Inform
1; SYSTEM ; sure, i have 18 options for you;Hotel-Inform
2; USER ; Thank you! I would like a 4-star hotel, please.;Hotel-Inform
3; SYSTEM ; the a and b guest house is located in the east and is a 4 star.;Hotel-Recommend
4; USER ; I'd prefer a moderately priced place in the north.;Hotel-Inform
5; SYSTEM ; There are 7 guesthouses in the north part of the city that fit your needs. Do you have any other requirements, such as parking or internet?;Hotel-Inform
6; USER ; No not at all. I just need to know if they have internet and what the postcode and phone number is for one of them.;Hotel-Inform
7; SYSTEM ; The archway house fits the bill. It's at 52 gilbert road post code cb43pe and it's number is 01223575314;Hotel-Inform
8; USER ; Great I'm also looking for some info on a restaurant called nandos city centre;Restaurant-Inform
9; SYSTEM ; it is a cheap restaurant located in the centre. can i book for you?;Booking-Inform
10; USER ; ok book it for 6 on sunday at 15:30 and I need a reference # too;Restaurant-Inform
11; SYSTEM ; You're all set. The restaurant can only hold your table for 15 minutes after the reservation time. Your Reference number is : JAAA0FJ8 .;Booking-Book
12; USER ; Thanks. Can you book a taxi from Archway House to the restaurant for my reservation?;Taxi-Inform
13; SYSTEM ; Ok you will arrive at 15:15 in a yellow skoda Contact number :07710839987;Taxi-Inform
14; USER ; Thank you very much. Have a blessed day.;general-thank
15; SYSTEM ; If you need anything else, please do not hesitate to contact us.;general-bye
0; USER ; Hello I want to see some authentic architectures in cambridge!;Attraction-Inform
1; SYSTEM ; There is plenty of architectural churches in the centre. Would you like their addresses?;Attraction-Inform
2; USER ; Please. Could you also provide their phone number and entrance fees?;Attraction-Request
3; SYSTEM ; Holy trinity church is in the centre of town their number is 01223355397 and they have a free entrance fee.;Attraction-Inform
4; USER ; Okay. Wonderful. May I have the exact address as well? Also I need help finding a train to go to Stansted Airport that will arrive by 18:00.;Attraction-Request
5; SYSTEM ; The Holy Trinity Church's address is Market Street, postcode cb23nz. There are many trains arriving in Stansted Airport by 18:00. Would you like to narrow your search further?;Attraction-Inform
6; USER ; Yes. I would like a direct, nonstop train.;Train-Inform
7; SYSTEM ; What day and time do you want to leave?;Train-Request
8; USER ; I would like to leave from Cambridge on Friday. I need to arrive by 18:00.;Train-Inform
9; SYSTEM ; There is a direct, 28 minute train from Cambridge to Stansted that leaves at 14:40 and arrives at 15:08. All other trains arrive after 16:00. Would you like me to book this?;Train-Inform
10; USER ; Yes, I need 4 tickets.;Train-Inform
11; SYSTEM ; Great! I have you booked for four tickets on Train TR1316 with a total fee of 40.4 GBP. Your reference number is EFGE9M7Z . Anything else?;Train-OfferBooked
12; USER ; No, thank you.;general-thank
13; SYSTEM ; Have a great day!;general-bye
14; USER ; Thank you. You too!;general-thank
15; SYSTEM ; It's been my pleasure to assist you.;general-greet
0; USER ; I am looking for a moderately priced place to dine in the centre of Cambridge;Restaurant-Inform
1; SYSTEM ; Is there any specific type of food you are wanting?;Restaurant-Request
2; USER ; I would like a polynesian restaurant, please.;Restaurant-Inform
3; SYSTEM ; Unfortunately there are no Polynesian restaurants located in Cambridge, were you wanting any other type of food?;Restaurant-NoOffer
4; USER ; Are there any Turkish restaurants?;Restaurant-Inform
